"supportprojectstatuslogid","previousstatus","currentstatus","startdate","enddate","reason","additionalinfo","supportprojectstatuslog2supportproject","changetype"
203,1,3,"2018-11-28","2018-11-28",NULL,NULL,85,0
207,4,5,"2018-11-30",NULL,NULL,NULL,85,0
205,4,5,"2018-11-28","2018-11-30",NULL,NULL,85,0
204,4,5,"2018-11-28","2018-11-28",NULL,NULL,85,0
307,1,4,"2019-02-28",NULL,NULL,NULL,86,0
208,1,3,"2018-12-03",NULL,NULL,NULL,87,0
346,1,9,"2019-03-27","2019-03-27",3,"The timing for this Service request passed. It was agreed with the NSO to cancel it.",88,1
347,9,7,"2019-03-27",NULL,NULL,NULL,88,0
257,1,3,"2019-02-04","2020-07-31",NULL,NULL,89,0
1367,3,9,"2020-07-31","2020-07-31",1,NULL,89,1
1366,4,3,"2020-07-31","2020-07-31",NULL,NULL,89,0
1369,7,10,"2020-07-31",NULL,NULL,NULL,89,0
1368,9,7,"2020-07-31",NULL,NULL,NULL,89,0
309,1,3,"2019-02-28",NULL,NULL,NULL,90,0
246,1,3,"2019-01-17","2019-09-20",NULL,NULL,91,0
550,4,6,"2019-09-20",NULL,NULL,NULL,91,0
243,1,3,"2019-01-11","2019-04-04",NULL,NULL,92,0
366,5,6,"2019-04-04","2019-04-04",NULL,NULL,92,0
367,6,8,"2019-04-04",NULL,NULL,NULL,92,0
391,0,1,"2019-04-30","2019-04-30",NULL,NULL,93,0
392,1,3,"2019-04-30",NULL,NULL,NULL,93,0
957,4,5,"2020-03-02","2020-03-02",NULL,NULL,93,0
974,5,6,"2020-03-02",NULL,NULL,NULL,93,0
258,0,1,"2019-02-05","2019-02-07",NULL,NULL,94,0
261,1,3,"2019-02-07",NULL,NULL,NULL,94,0
850,4,5,"2020-02-17",NULL,NULL,NULL,94,0
849,4,5,"2020-02-17",NULL,NULL,NULL,94,0
943,5,5,"2020-02-26","2020-02-26",NULL,NULL,94,0
851,5,5,"2020-02-17",NULL,NULL,NULL,94,0
944,5,6,"2020-02-26",NULL,NULL,NULL,94,0
249,1,3,"2019-01-22","2019-10-25",NULL,NULL,96,0
631,5,6,"2019-10-25",NULL,NULL,NULL,96,0
247,1,9,"2019-01-22","2019-01-22",2,"Duplicated service.",97,1
248,9,7,"2019-01-22",NULL,NULL,NULL,97,0
525,1,3,"2019-08-30",NULL,NULL,NULL,98,0
271,1,3,"2019-02-12","2019-10-25",NULL,NULL,99,0
629,3,4,"2019-10-25","2019-10-25",NULL,NULL,99,0
630,4,6,"2019-10-25",NULL,NULL,NULL,99,0
364,1,3,"2019-04-01","2019-05-20",NULL,NULL,100,0
425,3,4,"2019-05-20","2019-10-09",NULL,NULL,100,0
600,4,6,"2019-10-09",NULL,NULL,NULL,100,0
294,1,9,"2019-02-20","2019-02-20",3,"This is not a service",101,1
295,9,7,"2019-02-20",NULL,NULL,NULL,101,0
388,1,3,"2019-04-30","2020-02-27",NULL,NULL,102,0
950,4,3,"2020-02-27",NULL,NULL,NULL,102,0
259,1,3,"2019-02-05",NULL,NULL,NULL,103,0
852,4,5,"2020-02-17",NULL,NULL,NULL,103,0
853,4,5,"2020-02-17","2020-03-02",NULL,NULL,103,0
975,5,6,"2020-03-02",NULL,NULL,NULL,103,0
260,1,3,"2019-02-06",NULL,NULL,NULL,104,0
1218,4,5,"2020-06-09",NULL,NULL,NULL,104,0
1228,5,5,"2020-06-11",NULL,NULL,NULL,104,0
1222,5,5,"2020-06-09",NULL,NULL,NULL,104,0
1221,5,5,"2020-06-09",NULL,NULL,NULL,104,0
1229,5,5,"2020-06-11","2020-07-07",NULL,NULL,104,0
1278,5,6,"2020-07-07",NULL,NULL,NULL,104,0
265,0,1,"2019-02-11","2019-02-11",NULL,NULL,105,0
268,1,3,"2019-02-11",NULL,NULL,NULL,105,0
266,1,9,"2019-02-11","2019-02-11",3,"DUPLICATION",106,1
267,9,7,"2019-02-11",NULL,NULL,NULL,106,0
263,0,9,"2019-02-11","2019-02-11",3,"TEST",107,1
922,7,10,"2020-02-21",NULL,NULL,NULL,107,0
264,9,7,"2019-02-11",NULL,NULL,NULL,107,0
360,1,3,"2019-03-30",NULL,NULL,NULL,108,0
336,1,3,"2019-03-14","2019-08-07",NULL,NULL,109,0
1185,3,9,"2020-05-26",NULL,1,NULL,109,1
1184,4,3,"2020-05-26","2020-05-26",NULL,NULL,109,0
515,4,3,"2019-08-07","2020-05-26",NULL,NULL,109,0
337,1,9,"2019-03-14","2019-05-03",2,NULL,110,1
398,1,4,"2019-05-03",NULL,NULL,NULL,110,0
1190,5,5,"2020-05-26",NULL,NULL,NULL,110,0
397,9,1,"2019-05-03","2019-05-03",NULL,NULL,110,0
942,1,9,"2020-02-26",NULL,3,"Service to be broken down on 4 requests as suggested in the request description.",111,1
324,1,3,"2019-03-08","2020-03-24",NULL,NULL,112,0
1033,4,6,"2020-03-24",NULL,NULL,NULL,112,0
355,1,3,"2019-03-30","2019-10-07",NULL,NULL,113,0
594,3,4,"2019-10-07","2020-04-20",NULL,NULL,113,0
1103,4,6,"2020-04-20",NULL,NULL,NULL,113,0
298,1,3,"2019-02-25","2019-07-10",NULL,NULL,114,0
1067,4,3,"2020-04-07",NULL,NULL,NULL,114,0
593,4,3,"2019-10-03","2020-02-07",NULL,NULL,114,0
495,4,3,"2019-07-10","2019-10-03",NULL,NULL,114,0
820,4,3,"2020-02-07","2020-04-07",NULL,NULL,114,0
